Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,CtNum,Replicate,Run,BaselineStart,BaselineEnd,Threshold,Conversion
7,21,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
7,21,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,39.39474869,39.39474869,1,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,NA,51,4,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,36.33977509,36.33977509,6,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
6,22,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,NA,51,1,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,34.29381943,34.29381943,4,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,NA,51,6,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
7,18,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
2,1,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
2,1,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
2,1,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
2,1,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
2,1,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
2,1,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
2,2,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
2,2,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
2,2,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
2,2,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
2,2,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
2,2,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
2,3,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
2,3,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
2,3,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
2,3,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
2,3,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
2,3,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
2,4,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
2,4,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
2,4,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
2,4,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
2,4,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
2,4,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
2,5,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
2,5,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
2,5,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
2,5,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
2,5,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
2,5,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
2,7,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
2,7,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
