sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D0MTP7Exp22021,7,2,0,2021,22021,7/26/2021,Day0,0,0,Trachelomonas abrupta,4431.163608,0,0,0,1,0,0
D0MTP7Exp32022,7,3,0,2022,32022,9/19/2022,Day0,10,17.73661795,Chrysosphaerella sp.,1418.892866,1.250032217,0,31,8,0,0
D0MTP8Exp12021,8,1,0,2021,12021,6/14/2021,Day0,30,18.55887379,Haematococcus pluvialis,307.252466,6.040268456,2,0,15,15,0
D0MTP8Exp12022,8,1,0,2022,12022,6/1/2022,Day0,0,0,Chrysosphaerella sp.,521.4512575,0,2,97,1,0,3
D0MTP8Exp22021,8,2,0,2021,22021,7/26/2021,Day0,30,35.25244813,Trachelomonas abrupta,4106.910208,0.858369099,0,0,2,0,0
D0MTP8Exp32022,8,3,0,2022,32022,9/19/2022,Day0,100,112.0141176,Chrysosphaerella sp.,1452.225663,7.713272154,1,153,12,0,0
D0MTP9Exp12021,9,1,0,2021,12021,6/14/2021,Day0,1,4.343476483,Haematococcus pluvialis,2249.920818,0.193050193,1,3,16,2,0
D0MTP9Exp12022,9,1,0,2022,12022,6/1/2022,Day0,100,106.4197077,Chrysosphaerella sp.,1426.663326,7.459342773,2,129,5,0,1
D0MTP9Exp22021,9,2,0,2021,22021,7/26/2021,Day0,1,0,Trachelomonas abrupta,4964.335079,0,1,0,2,0,0
D0MTP9Exp32022,9,3,0,2022,32022,9/19/2022,Day0,1,21.58495935,Chrysosphaerella sp.,1831.969293,1.178238054,0,7,18,0,0
D14MTP10Exp12021,10,1,14,2021,12021,6/28/2021,Week2,100,0,Haematococcus pluvialis,707.9866667,0,0,0,0,6,0
D14MTP10Exp12022,10,1,14,2022,12022,6/15/2022,Week2,10,4.406556017,Chrysosphaerella sp.,3634.289015,0.121249466,7,0,0,0,6
D14MTP10Exp22021,10,2,14,2021,22021,8/9/2021,Week2,100,8.886861925,Trachelomonas abrupta,44478.74393,0.01998002,0,0,0,0,0
D14MTP10Exp32022,10,3,14,2022,32022,10/3/2022,Week2,10,13.03042945,Chrysosphaerella sp.,20285.98531,0.064233653,0,0,0,0,0
D14MTP11Exp12021,11,1,14,2021,12021,6/28/2021,Week2,30,4.985821596,Haematococcus pluvialis,10275.77831,0.048520136,4,0,0,4,0
D14MTP11Exp12022,11,1,14,2022,12022,6/15/2022,Week2,100,0,Chrysosphaerella sp.,998.0053012,0,6,0,0,0,10
D14MTP11Exp22021,11,2,14,2021,22021,8/9/2021,Week2,30,0,Trachelomonas abrupta,2917.763232,0,0,0,0,0,0
D14MTP12Exp12021,12,1,14,2021,12021,6/28/2021,Week2,10,0,Haematococcus pluvialis,2336.356,0,0,0,0,0,0
D14MTP12Exp12022,12,1,14,2022,12022,6/15/2022,Week2,1,8.59902834,Chrysosphaerella sp.,5011.557776,0.171583941,0,8,0,0,0
D14MTP12Exp22021,12,2,14,2021,22021,8/9/2021,Week2,10,2.86634278,Trachelomonas abrupta,2585.441188,0.110864745,0,0,0,0,0
D14MTP12Exp32022,12,3,14,2022,32022,10/3/2022,Week2,30,0,Chrysosphaerella sp.,19237.00914,0,0,0,0,0,0
D14MTP13Exp12021,13,1,14,2021,12021,6/28/2021,Week2,0,8.09127619,Haematococcus pluvialis,5712.440991,0.141643059,0,0,0,0,0
D14MTP13Exp12022,13,1,14,2022,12022,6/15/2022,Week2,30,14.10332005,Chrysosphaerella sp.,2549.880266,0.553097345,2,0,0,1,0
D14MTP13Exp22021,13,2,14,2021,22021,8/9/2021,Week2,0,0,Trachelomonas abrupta,22208.86746,0,0,0,0,0,0
D14MTP13Exp32022,13,3,14,2022,32022,10/3/2022,Week2,1,0,Chrysosphaerella sp.,5607.609874,0,0,0,0,0,0
D14MTP14Exp12021,14,1,14,2021,12021,6/28/2021,Week2,10,0,Haematococcus pluvialis,7233.574299,0,1,0,0,0,0
D14MTP14Exp12022,14,1,14,2022,12022,6/15/2022,Week2,10,0,Chrysosphaerella sp.,6884.660466,0,0,5,0,0,0
D14MTP14Exp22021,14,2,14,2021,22021,8/9/2021,Week2,10,0,Trachelomonas abrupta,37169.3,0,0,0,0,0,0
D14MTP14Exp32022,14,3,14,2022,32022,10/3/2022,Week2,100,4.557854077,Chrysosphaerella sp.,6777.529013,0.067249496,0,0,0,0,0
D14MTP15Exp12021,15,1,14,2021,12021,6/28/2021,Week2,1,5.244345679,Haematococcus pluvialis,8569.260839,0.06119951,0,0,0,0,0
D14MTP15Exp12022,15,1,14,2022,12022,6/15/2022,Week2,0,0,Chrysosphaerella sp.,1931.134363,0,0,8,1,0,4
