Tank,sample-id,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,TempC,Cond_mS.cm,Salinity_PSU,pH,Turbidity_FNU,DO_mg.L,TChlor_ug.L
17,D7MTP17Exp12021,1,7,2021,12021,6/21/2021,Week1,1,2.57449697,Haematococcus pluvialis,913.9464242,0.281690141,19.286,191.7,0.09,8.17,6.85,9.01,6.88
17,D14MTP17Exp12021,1,14,2021,12021,6/28/2021,Week2,1,0,Haematococcus pluvialis,1840.254152,0,19.241,184.7,0.09,8.2,5.88,9.22,8.55
17,D22MTP17Exp12021,1,22,2021,12021,7/6/2021,Week3,1,0,Haematococcus pluvialis,7092.817642,0,19.219,188.9,0.09,8.33,4.23,9.15,11.4
17,D28MTP17Exp12021,1,28,2021,12021,7/12/2021,Week4,1,0,Haematococcus pluvialis,2208.484938,0,19.305,187.7,0.09,8.25,10.08,9.12,6.27
18,D0MTP18Exp12021,1,0,2021,12021,6/14/2021,Day0,100,35.17385987,Haematococcus pluvialis,304.389172,11.55555556,18.826,182.8,0.09,7.75,14.79,9.18,5.48
18,D7MTP18Exp12021,1,7,2021,12021,6/21/2021,Week1,100,1.972107707,Haematococcus pluvialis,1344.977456,0.146627566,19.292,183.6,0.09,8.19,6.52,9.07,7.08
18,D14MTP18Exp12021,1,14,2021,12021,6/28/2021,Week2,100,0,Haematococcus pluvialis,5899.888888,0,19.312,184.9,0.09,8.16,8.77,9.23,17.97
18,D22MTP18Exp12021,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,4230.92832,0,19.25,194.1,0.09,8.11,4.02,9.04,7.2
18,D28MTP18Exp12021,1,28,2021,12021,7/12/2021,Week4,100,0,Haematococcus pluvialis,1130.772227,0,19.316,189.3,0.09,8.15,8.95,8.98,7.09
19,D0MTP19Exp12021,1,0,2021,12021,6/14/2021,Day0,30,25.36071642,Haematococcus pluvialis,361.390209,7.017543859,18.836,182.8,0.09,7.78,14.38,9.21,5.28
19,D7MTP19Exp12021,1,7,2021,12021,6/21/2021,Week1,30,0,Haematococcus pluvialis,4309.974608,0,19.388,183.6,0.09,8.1,7.6,9.05,7.61
19,D14MTP19Exp12021,1,14,2021,12021,6/28/2021,Week2,30,2.240464135,Haematococcus pluvialis,2043.303291,0.109649123,19.291,185.4,0.09,8.11,7.29,9.2,9.48
19,D22MTP19Exp12021,1,22,2021,12021,7/6/2021,Week3,30,0,Haematococcus pluvialis,1915.898612,0,19.264,188.9,0.09,8.11,5.7,9.09,18.4
19,D28MTP19Exp12021,1,28,2021,12021,7/12/2021,Week4,30,0,Haematococcus pluvialis,704.9739574,0,19.387,187.8,0.09,8.17,9.54,9.02,11.82
20,D0MTP20Exp12021,1,0,2021,12021,6/14/2021,Day0,0,2.134633166,Haematococcus pluvialis,392.7725025,0.543478261,18.973,182.3,0.09,7.7,13.6,9.08,5.22
20,D7MTP20Exp12021,1,7,2021,12021,6/21/2021,Week1,0,0,Haematococcus pluvialis,701.3075472,0,19.641,182.5,0.09,8.03,7.26,9.03,8.41
20,D14MTP20Exp12021,1,14,2021,12021,6/28/2021,Week2,0,5.949467787,Haematococcus pluvialis,7585.571428,0.078431373,19.538,184.6,0.09,8.13,5.93,9.15,18.42
20,D22MTP20Exp12021,1,22,2021,12021,7/6/2021,Week3,0,0,Haematococcus pluvialis,5862.300887,0,19.471,186.6,0.09,8.08,4.55,9.02,9.35
20,D28MTP20Exp12021,1,28,2021,12021,7/12/2021,Week4,0,0,Haematococcus pluvialis,612.4301841,0,19.537,187.9,0.09,8.16,5.05,8.96,9.95
21,D0MTP21Exp12021,1,0,2021,12021,6/14/2021,Day0,100,52.66016529,Haematococcus pluvialis,456.3880991,11.53846154,19.059,182.7,0.09,7.77,13.24,9.09,5.32
21,D7MTP21Exp12021,1,7,2021,12021,6/21/2021,Week1,100,0,Haematococcus pluvialis,1113.343739,0,19.784,184.2,0.09,8.04,6.83,8.96,6.62
21,D14MTP21Exp12021,1,14,2021,12021,6/28/2021,Week2,100,0,Haematococcus pluvialis,1587.785997,0,19.708,183.9,0.09,8.08,5.56,9.06,10.4
21,D22MTP21Exp12021,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,5619.135556,0,19.494,188,0.09,8.06,5.04,8.98,10
21,D28MTP21Exp12021,1,28,2021,12021,7/12/2021,Week4,100,0,Haematococcus pluvialis,773.12144,0,19.685,193,0.09,8.2,11.17,8.92,10.24
1,D0MTP1Exp22021,2,0,2021,22021,7/26/2021,Day0,30,26.4393361,Trachelomonas abrupta,4278.765892,0.61791967,22.109,180.6,0.08,7.84,5.51,8.45,13.89
1,D7MTP1Exp22021,2,7,2021,22021,8/2/2021,Week1,30,16.92398406,Trachelomonas abrupta,9215.109323,0.183654729,22.906,178.5,0.08,8.13,2.49,8.36,15.47
1,D14MTP1Exp22021,2,14,2021,22021,8/9/2021,Week2,30,0,Trachelomonas abrupta,2573.915381,0,22.969,181.6,0.09,8.14,0.62,8.23,2.97
