Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,Replicate,Run,Conversion,VolumeFilteredL
4,20,3,2021,N,1,NA,4,12.5.23,0.09,1
4,20,3,2021,N,1,NA,5,12.5.23,0.09,1
4,20,3,2021,N,1,NA,6,12.5.23,0.09,1
4,20,3,2021,N,1,NA,1,1.22.24,-1.66,1
4,20,3,2021,N,1,NA,2,1.22.24,-1.66,1
4,20,3,2021,N,1,NA,3,1.22.24,-1.66,1
4,20,3,2021,N,1,NA,4,1.22.24,-1.66,1
4,20,3,2021,N,1,NA,5,1.22.24,-1.66,1
4,20,3,2021,N,1,NA,6,1.22.24,-1.66,1
4,20,3,2021,N,1,NA,7,1.22.24,-1.66,1
4,20,3,2021,N,1,NA,8,1.22.24,-1.66,1
4,21,3,2021,Y,3.48,NA,1,12.6.23,-0.35,1
4,21,3,2021,Y,3.48,NA,2,12.6.23,-0.35,1
4,21,3,2021,Y,3.48,48.77853775,3,12.6.23,-0.35,1
4,21,3,2021,Y,3.48,NA,4,12.6.23,-0.35,1
4,21,3,2021,Y,3.48,NA,5,12.6.23,-0.35,1
4,21,3,2021,Y,3.48,NA,6,12.6.23,-0.35,1
4,22,3,2021,N,1,NA,1,12.6.23,-0.35,1
4,22,3,2021,N,1,NA,2,12.6.23,-0.35,1
4,22,3,2021,N,1,NA,3,12.6.23,-0.35,1
4,22,3,2021,N,1,NA,4,12.6.23,-0.35,1
4,22,3,2021,N,1,NA,5,12.6.23,-0.35,1
4,22,3,2021,N,1,NA,6,12.6.23,-0.35,1
4,22,3,2021,N,1,NA,1,1.22.24,-1.66,1
4,22,3,2021,N,1,NA,2,1.22.24,-1.66,1
4,22,3,2021,N,1,NA,3,1.22.24,-1.66,1
4,22,3,2021,N,1,NA,4,1.22.24,-1.66,1
4,22,3,2021,N,1,NA,5,1.22.24,-1.66,1
4,22,3,2021,N,1,NA,6,1.22.24,-1.66,1
4,22,3,2021,N,1,NA,7,1.22.24,-1.66,1
4,22,3,2021,N,1,NA,8,1.22.24,-1.66,1
5,1,3,2021,N,1,36.675457,1,12.6.23,-0.35,1
5,1,3,2021,N,1,37.40796661,2,12.6.23,-0.35,1
5,1,3,2021,N,1,37.83375931,3,12.6.23,-0.35,1
5,1,3,2021,N,1,35.19010544,4,12.6.23,-0.35,1
5,1,3,2021,N,1,38.06890106,5,12.6.23,-0.35,1
5,1,3,2021,N,1,37.7250824,6,12.6.23,-0.35,1
